id pc1 pc2 pc3 pc4 pc5 pc6 pc7
1363 -0.00376859 -0.0404853 0.0151214 -0.00393555 0.00301527 -0.0189117 0.00401368
1364 0.0270047 0.00742615 0.0489323 0.00111391 -0.0159104 0.0202717 0.0114215
1365 -0.00955319 -0.0174785 -8.58918e-4 0.0147112 0.0414871 0.0363899 -0.0460626
1366 -0.0131086 -0.0278326 -0.0148061 -0.00716483 0.0310364 -0.00674052 -0.00946459
1367 0.0114679 -0.0280808 0.0139688 0.00866152 0.0170596 -0.0312732 0.0041020300000000004
1368 -0.0330822 0.0347221 0.0115017 -0.0378277 0.0183135 0.0152221 -0.00175958
1369 -0.0508976 0.0129284 -0.0108263 0.0121491 -0.01955 0.0060307 0.0065303
1370 -0.0330759 0.0407592 -0.0318892 -0.0614821 0.00546357 0.0178139 -0.00352186
1371 -0.0235949 0.010139 0.0127979 -0.0296482 0.0306725 0.0238569 -0.00102273
1380 0.0254148 -0.0109928 0.0188943 0.035148 0.0072667 0.00820129 -0.0178549
1381 0.0252869 0.025732 0.014683 -0.0238477 -0.0187738 -0.0224333 -0.00920972
1382 0.0336046 0.0154994 0.0348696 -0.00938497 -0.0250904 -0.0170875 0.00433029
1383 -0.0365519 0.0296566 0.0273672 0.0363479 -0.00697576 -0.013674 0.011046
1384 -0.0182775 0.0236101 0.0106028 0.0448154 7.43157e-4 0.0317933 0.0263163
1385 -0.0233782 0.0560018 0.0173487 0.0181501 0.032677 0.00306154 -0.00180011
1386 -0.0530108 0.0279876 0.00942114 0.0022276 -0.0126893 0.0231496 0.00351052
1387 -0.0430385 0.0104906 -0.0488798 7.83717e-4 -0.0366036 0.0333685 0.0129415
1388 -0.056836 0.0281098 5.5369e-4 0.0282934 -0.0147279 0.0245206 0.0268715
1389 0.00555723 0.025134 -0.0111462 0.0270203 0.0315965 -0.00599176 0.0311716
1390 -0.0453913 0.0182245 0.00203826 0.00686835 -0.00755315 -0.0041834 -0.00745184
1391 0.0227961 0.00797963 0.0319223 -0.0164472 0.0185916 0.00935777 0.0278913
1392 0.014023 -0.00417433 -0.00650539 -0.0292056 0.0399491 0.00585153 0.0345466
1393 -0.00554079 0.00581133 -0.0220446 -0.0474575 3.03623e-4 0.0195793 0.0245431
1394 -0.00770832 -0.010434 -0.0102233 0.00825261 0.0508555 0.0172565 0.0234128
1395 0.00484052 -0.0325831 0.00958701 0.00985706 0.0396661 0.0139196 0.00230687
1396 -0.0247803 -0.0196008 -0.00120456 0.0278806 -0.00787786 0.0342933 -0.0033207
1397 -0.00864888 -0.00293546 0.0518655 -0.0174929 -0.0167153 -0.0430548 0.0181911
1398 0.0244068 0.015933 0.0100797 0.00650771 -0.0104943 -0.0317906 -0.0215029
1400 -0.0143511 -0.0224451 -0.0111172 0.00494632 0.00396551 0.0463547 -0.00696231
1401 0.0161517 -0.034068 -0.031132 -0.00420623 0.00282393 0.0193748 0.00713672
1402 -0.0187012 0.0126991 0.0116889 -0.0241842 -0.00808307 0.00722629 0.0241489
1403 0.0193988 -0.0308547 -0.00861502 -0.00685783 -0.0142174 -0.0258826 -0.0263281
1404 -0.00611682 0.0375407 -0.0259151 0.0337503 -0.0153948 -0.0150581 0.019089
1405 -0.00195611 -0.0185894 0.00407085 0.00282516 0.0101768 0.0114997 0.0350281
1406 0.00643088 0.00130189 0.00134304 -0.0108001 -0.0226431 -0.0171278 -0.0361607
1407 -0.0197742 -0.0246833 -0.0069301400000000004 -0.0166103 -0.0559431 -0.013497200000000001 -0.0194114
1408 -0.0266208 -0.025763 -0.0129999 -0.017358 -0.00385844 0.00409214 0.0199475
1409 -0.014224 0.026864 -0.029543 -0.0605846 -0.0256105 -0.0261171 0.00540647
1410 0.0210587 0.0226438 0.00664646 1.09009e-4 0.0275115 0.0257257 0.0115031
1411 -0.0328035 0.015823 -0.00672556 -0.0179948 -0.0226513 0.00568027 -9.24987e-4
1412 -0.0262044 0.00190463 -0.0339033 0.0562187 0.00327353 -0.00376306 0.00304842
1413 -0.0219447 0.0148512 -0.0118859 -0.0481148 -0.00211774 -0.0584236 0.00752667
1414 0.0339389 -0.00450017 -0.00520739 0.013075700000000001 0.0427007 0.0388109 0.00768557
